Group,APM,Appearances,year
"('Giannis Antetokounmpo', 'Greg Monroe', 'Jabari Parker', 'Khris Middleton', 'Michael Carter-Williams')",6.210868086748289,2103,2016
"('Chandler Parsons', 'Deron Williams', 'Dirk Nowitzki', 'Wesley Matthews', 'Zaza Pachulia')",9.699803626064616,1561,2016
"('Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Luc Mbah a Moute', 'Paul Pierce')",12.40617464458281,1459,2016
"('Channing Frye', 'Elfrid Payton', 'Evan Fournier', 'Nikola Vucevic', 'Tobias Harris')",9.036112851239926,1283,2016
"('Brook Lopez', 'Donald Sloan', 'Joe Johnson', 'Thaddeus Young', 'Wayne Ellington')",7.328525076662902,1590,2016
"('Derrick Rose', 'Jimmy Butler', 'Pau Gasol', 'Taj Gibson', 'Tony Snell')",10.38214778930955,800,2016
"('Arron Afflalo', 'Carmelo Anthony', 'Jose Calderon', 'Kristaps Porzingis', 'Robin Lopez')",5.738842251344555,2840,2016
"('Andre Drummond', 'Ersan Ilyasova', 'Kentavious Caldwell-Pope', 'Marcus Morris Sr.', 'Reggie Jackson')",9.370471861168223,3547,2016
"('Danny Green', 'Kawhi Leonard', 'LaMarcus Aldridge', 'Tim Duncan', 'Tony Parker')",13.156403651455308,3198,2016
"(""D'Angelo Russell"", 'Jordan Clarkson', 'Julius Randle', 'Kobe Bryant', 'Roy Hibbert')",-4.474902689032036,2341,2016
"('Jordan Clarkson', 'Kobe Bryant', 'Larry Nance Jr.', 'Lou Williams', 'Roy Hibbert')",-2.432243762265834,885,2016
"('Andrew Wiggins', 'Karl-Anthony Towns', 'Kevin Garnett', 'Ricky Rubio', 'Tayshaun Prince')",11.81882214358622,1057,2016
"('Brook Lopez', 'Jarrett Jack', 'Joe Johnson', 'Rondae Hollis-Jefferson', 'Thaddeus Young')",5.037342555730745,919,2016
"('Bojan Bogdanovic', 'Brook Lopez', 'Jarrett Jack', 'Joe Johnson', 'Thaddeus Young')",5.69146050454885,1166,2016
"('Dwyane Wade', 'Goran Dragic', 'Hassan Whiteside', 'Joe Johnson', 'Luol Deng')",17.43796793766187,814,2016
"('Derrick Favors', 'Gordon Hayward', 'Rodney Hood', 'Rudy Gobert', 'Shelvin Mack')",16.92600199231671,967,2016
"('Danilo Gallinari', 'Emmanuel Mudiay', 'Gary Harris', 'Kenneth Faried', 'Nikola Jokic')",8.048250309039357,1148,2016
"('George Hill', 'Ian Mahinmi', 'Lavoy Allen', 'Monta Ellis', 'Paul George')",9.286221900933413,1408,2016
"('CJ Miles', 'George Hill', 'Ian Mahinmi', 'Monta Ellis', 'Paul George')",4.589843265659129,1447,2016
"('Jordan Clarkson', 'Julius Randle', 'Kobe Bryant', 'Lou Williams', 'Roy Hibbert')",-6.432360537120864,805,2016
"('Deron Williams', 'Dirk Nowitzki', 'Raymond Felton', 'Wesley Matthews', 'Zaza Pachulia')",10.267630219537091,1055,2016
"('Danny Green', 'David West', 'Kawhi Leonard', 'LaMarcus Aldridge', 'Tony Parker')",6.551857814868986,806,2016
"('DeMar DeRozan', 'DeMarre Carroll', 'Jonas Valanciunas', 'Kyle Lowry', 'Luis Scola')",5.6582174137339285,1036,2016
"('Andre Drummond', 'Kentavious Caldwell-Pope', 'Marcus Morris Sr.', 'Reggie Jackson', 'Tobias Harris')",8.666975740685604,2119,2016
"('DeMar DeRozan', 'James Johnson', 'Jonas Valanciunas', 'Kyle Lowry', 'Luis Scola')",6.243302013714484,1267,2016
"('Al-Farouq Aminu', 'CJ McCollum', 'Damian Lillard', 'Mason Plumlee', 'Maurice Harkless')",15.057779383536726,1880,2016
"('Carmelo Anthony', 'Jose Calderon', 'Kristaps Porzingis', 'Robin Lopez', 'Sasha Vujacic')",8.310149407121276,910,2016
"(""Amar'e Stoudemire"", 'Dwyane Wade', 'Goran Dragic', 'Joe Johnson', 'Luol Deng')",7.263065114171531,817,2016
"('Courtney Lee', 'Marc Gasol', 'Mike Conley', 'Tony Allen', 'Zach Randolph')",9.829352216446596,981,2016
"('Cody Zeller', 'Kemba Walker', 'Marvin Williams', 'Nicolas Batum', 'PJ Hairston')",6.81405020021333,1024,2016
"('Bismack Biyombo', 'Cory Joseph', 'Kyle Lowry', 'Patrick Patterson', 'Terrence Ross')",14.222802722401951,1235,2016
"('Jeff Teague', 'Monta Ellis', 'Myles Turner', 'Paul George', 'Thaddeus Young')",5.213959839076075,2579,2017
"('Eric Gordon', 'James Harden', 'Nene', 'Ryan Anderson', 'Trevor Ariza')",14.328051953287474,927,2017
"('Andre Iguodala', 'Draymond Green', 'Kevin Durant', 'Klay Thompson', 'Stephen Curry')",21.32345613010153,1190,2017
"('Clint Capela', 'James Harden', 'Patrick Beverley', 'Ryan Anderson', 'Trevor Ariza')",14.396350387248528,2500,2017
"('Clint Capela', 'Eric Gordon', 'James Harden', 'Ryan Anderson', 'Trevor Ariza')",11.294055366231058,1171,2017
"('Alex Len', 'Devin Booker', 'Eric Bledsoe', 'Marquese Chriss', 'T.J. Warren')",0.6028325903227201,839,2017
"('Carmelo Anthony', 'Courtney Lee', 'Derrick Rose', 'Joakim Noah', 'Kristaps Porzingis')",5.9603332473405874,1579,2017
"('Bradley Beal', 'John Wall', 'Marcin Gortat', 'Markieff Morris', 'Otto Porter Jr.')",13.671349425038793,6398,2017
"('Bradley Beal', 'John Wall', 'Kelly Oubre Jr.', 'Marcin Gortat', 'Otto Porter Jr.')",16.688547626865407,887,2017
