year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2017,Washington Wizards,Marcin Gortat,John Wall,Bradley Beal,Otto Porter Jr.,Kelly Oubre Jr.,10.743841343828862,887
2017,Charlotte Hornets,Marvin Williams,Nicolas Batum,Kemba Walker,Michael Kidd-Gilchrist,Cody Zeller,-4.3974163746027015,3108
2017,Oklahoma City Thunder,Russell Westbrook,Taj Gibson,Andre Roberson,Steven Adams,Victor Oladipo,-3.070192129993922,1174
2017,Portland Trail Blazers,Al-Farouq Aminu,Damian Lillard,Maurice Harkless,CJ McCollum,Mason Plumlee,-4.123168962413667,1010
2017,Detroit Pistons,Marcus Morris Sr.,Reggie Jackson,Jon Leuer,Andre Drummond,Kentavious Caldwell-Pope,-5.954478482163834,1608
2017,Detroit Pistons,Ish Smith,Marcus Morris Sr.,Tobias Harris,Andre Drummond,Kentavious Caldwell-Pope,-11.170926115568285,1933
2017,Detroit Pistons,Marcus Morris Sr.,Tobias Harris,Reggie Jackson,Andre Drummond,Kentavious Caldwell-Pope,-7.448819283147609,1480
2017,Golden State Warriors,Zaza Pachulia,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,-3.8882080397957246,2868
2017,Boston Celtics,Amir Johnson,Al Horford,Avery Bradley,Isaiah Thomas,Jae Crowder,-4.7012284864199465,2010
2017,Boston Celtics,Al Horford,Avery Bradley,Isaiah Thomas,Jae Crowder,Marcus Smart,4.776672342662405,915
2017,Atlanta Hawks,Dwight Howard,Paul Millsap,Kent Bazemore,Dennis Schroder,Tim Hardaway Jr.,-3.4270960464584004,986
2017,Brooklyn Nets,Randy Foye,Brook Lopez,Jeremy Lin,Rondae Hollis-Jefferson,Caris LeVert,-0.044798112496905906,1079
2017,Portland Trail Blazers,Damian Lillard,Maurice Harkless,CJ McCollum,Noah Vonleh,Jusuf Nurkic,-1.450447464599999,916
2017,Atlanta Hawks,Dwight Howard,Thabo Sefolosha,Paul Millsap,Kent Bazemore,Dennis Schroder,-7.840085962938666,1717
2017,Toronto Raptors,Serge Ibaka,DeMar DeRozan,DeMarre Carroll,Jonas Valanciunas,Cory Joseph,1.3092132414499182,904
2017,Golden State Warriors,Zaza Pachulia,Stephen Curry,Klay Thompson,Draymond Green,Patrick McCaw,-4.7820398531311366,835
2017,Indiana Pacers,CJ Miles,Thaddeus Young,Jeff Teague,Paul George,Myles Turner,-2.7682593951279575,1878
2017,Indiana Pacers,Thaddeus Young,Jeff Teague,Paul George,Glenn Robinson III,Myles Turner,-1.4494018933943877,1568
2017,Miami Heat,Goran Dragic,Luke Babbitt,Hassan Whiteside,Dion Waiters,Rodney McGruder,-5.55239813263873,990
2017,Orlando Magic,Serge Ibaka,Nikola Vucevic,Evan Fournier,Elfrid Payton,Aaron Gordon,-6.039649643361182,1148
2017,Milwaukee Bucks,John Henson,Tony Snell,Giannis Antetokounmpo,Matthew Dellavedova,Jabari Parker,-3.9136616928087253,1567
2017,San Antonio Spurs,Pau Gasol,Tony Parker,LaMarcus Aldridge,Danny Green,Kawhi Leonard,-1.4174827518034459,1661
2017,Atlanta Hawks,Kyle Korver,Dwight Howard,Paul Millsap,Kent Bazemore,Dennis Schroder,-7.046652691008309,831
2017,Minnesota Timberwolves,Ricky Rubio,Gorgui Dieng,Zach LaVine,Andrew Wiggins,Karl-Anthony Towns,-5.782152487209184,3426
2017,Oklahoma City Thunder,Russell Westbrook,Andre Roberson,Steven Adams,Victor Oladipo,Domantas Sabonis,-8.29603643037004,2542
2017,Chicago Bulls,Dwyane Wade,Rajon Rondo,Robin Lopez,Taj Gibson,Jimmy Butler,-1.9976676289472988,1547
2017,Los Angeles Lakers,Lou Williams,Jordan Clarkson,Tarik Black,Larry Nance Jr.,Brandon Ingram,5.414690010840721,804
2017,Orlando Magic,Nikola Vucevic,Terrence Ross,Evan Fournier,Elfrid Payton,Aaron Gordon,-4.338631677632383,1711
2017,Milwaukee Bucks,Khris Middleton,Tony Snell,Giannis Antetokounmpo,Thon Maker,Malcolm Brogdon,-0.7094406248579794,844
2017,Minnesota Timberwolves,Brandon Rush,Ricky Rubio,Gorgui Dieng,Andrew Wiggins,Karl-Anthony Towns,-3.2749763735157935,2346
2017,LA Clippers,Jamal Crawford,Raymond Felton,Marreese Speights,Wesley Johnson,Austin Rivers,4.795551146921339,1007
2017,Houston Rockets,Trevor Ariza,Ryan Anderson,James Harden,Patrick Beverley,Montrezl Harrell,-7.723407619759682,805
2017,Denver Nuggets,Wilson Chandler,Danilo Gallinari,Gary Harris,Nikola Jokic,Emmanuel Mudiay,-2.1361699314496354,845
2017,Cleveland Cavaliers,LeBron James,JR Smith,Kevin Love,Kyrie Irving,Tristan Thompson,-9.925123938417078,3074
2017,Cleveland Cavaliers,LeBron James,Kevin Love,Kyrie Irving,Tristan Thompson,Iman Shumpert,-13.800816578047002,1063
2017,Phoenix Suns,Tyson Chandler,Eric Bledsoe,T.J. Warren,Devin Booker,Marquese Chriss,-4.60802735264322,1220
2017,LA Clippers,Chris Paul,JJ Redick,DeAndre Jordan,Luc Mbah a Moute,Blake Griffin,-4.700569223554531,3610
2017,Charlotte Hornets,Marvin Williams,Nicolas Batum,Kemba Walker,Michael Kidd-Gilchrist,Frank Kaminsky,-13.16253481273713,847
2017,Dallas Mavericks,Dirk Nowitzki,Wesley Matthews,Harrison Barnes,Seth Curry,Yogi Ferrell,3.540896531320261,1032
2017,San Antonio Spurs,Tony Parker,LaMarcus Aldridge,Danny Green,Kawhi Leonard,Dewayne Dedmon,-5.57545124822613,1029
2017,Los Angeles Lakers,Luol Deng,Nick Young,Timofey Mozgov,Julius Randle,D'Angelo Russell,8.699626171763457,1630
